구분,상세구분,2018,2019,2020,2021,2022,2023년 9월
수도권,화물차량 통행대수,15772545,15614780,17934800,39180072,43340045,32515458
수도권,과적고발 실적,10355,9453,9850,10166,9315,6628
강원,화물차량 통행대수,2510224,3100489,3538576,6995376,8228719,6193035
강원,과적고발 실적,1767,1768,1529,1687,1752,1369
충북,화물차량 통행대수,3161885,2904409,3739752,5504901,7297253,6448173
충북,과적고발 실적,2613,1359,1031,1202,1293,1086
대전충남,화물차량 통행대수,4694809,4436659,4213854,6261006,7165782,7693569
대전충남,과적고발 실적,3058,1808,1749,1703,1987,1201
전북,화물차량 통행대수,2281017,2611250,2407032,4292142,5134352,4047512
전북,과적고발 실적,1243,1307,1255,1216,1098,1021
광주전남,화물차량 통행대수,4236365,4164718,4469782,7452952,8356299,6040160
광주전남,과적고발 실적,2990,1834,2667,3011,2995,1604
대구경북,화물차량 통행대수,4065270,4755571,5291871,8664332,10229724,9560665
대구경북,과적고발 실적,2808,3119,3137,3617,3523,2894
부산경남,화물차량 통행대수,10229001,10590751,10861171,20999060,23422492,17647236
부산경남,과적고발 실적,5934,5778,5812,5417,4923,3471
